P2,1430349873834,1430349932839,1,roma mora omar ramo maro 
P2,1430349932961,1430349991968,2,malo mola lamo loma 
P2,1430349992088,1430350051092,3,domo 
P2,1430350051211,1430350110213,4,raro roar 
P2,1430350110879,1430350169885,5,mota mato 
P2,1430350170001,1430350228997,6,posa paso sopa 
P2,1430350229118,1430350288120,7,olor rolo 
P2,1430350288239,1430350347246,8,cosa caso saco caos 
P2,1430350347360,1430350406358,9,sale leas 
P2,1430350406475,1430350465475,10,toga gato 
P2,1430350466149,1430350474763,SUDS_1,10
P2,1430350533967,1430350592967,11,ne
P2,1430350593091,1430350652093,12,basura 
P2,1430350652211,1430350711211,13,patear rapate trapea parate 
P2,1430350711365,1430350770373,14,botara rotaba 
P2,1430350771010,1430350830013,15,postra potras trapos 
P2,1430350830132,1430350889132,16,rocas croas caros 
P2,1430350889251,1430350948254,17,otros rotos toros 
P2,1430350948370,1430351007368,18,
P2,1430351007488,1430351066493,19,credo cedro 
P2,1430351066613,1430351125614,20,roten tenor entro 
P2,1430351126215,1430351139296,SUDS_1,10
P2,1430351198502,1430351257502,21,sinonimos 
P2,1430351257622,1430351316619,22,
P2,1430351316736,1430351375734,23,
P2,1430351375853,1430351434852,24,
P2,1430351435448,1430351494454,25,
P2,1430351494571,1430351553573,26,
P2,1430351553699,1430351612698,27,sellarte 
P2,1430351612819,1430351671818,28,
P2,1430351671934,1430351730931,29,
P2,1430351731048,1430351790050,30,
P2,1430351790653,1430351796195,SUDS_1,10
